Eastings,Northings,Zone
218550.1467,876218.9407,32N
218383.8622,876349.6641,32N
218335.092,876550.9346,32N
218270.5848,876732.4502,32N
218117.0797,876852.0004,32N
217895.3628,876928.3018,32N
217771.6592,877097.6621,32N
217500.2274,877386.3528,32N
217413.57,877463.6232,32N
217219.8845,877466.883,32N
217020.948,877473.382,32N
216817.3184,877476.6819,32N
216745.8922,877506.354,32N
216682.2359,877603.9263,32N
216662.4819,877702.9155,32N
216603.5546,877885.3121,32N
216445.5701,878019.1884,32N
216335.9138,878143.8777,32N
216241.5125,878309.0342,32N
216157.5562,878497.9717,32N
216008.7397,878592.026,32N
215835.7772,878721.4073,32N
215667.4757,878686.8051,32N
215572.5534,878629.9519,32N
215260.6667,878305.8964,32N
215031.065,877969.8599,32N
214954.8489,877715.8161,32N
214899.6738,877412.7362,32N
214853.3898,877218.1647,32N
214811.5417,877042.2471,32N
214697.1364,876960.2408,32N
214616.5381,876975.1158,32N
214367.7714,876963.8047,32N
214138.5007,876963.1187,32N
214074.3746,876963.3036,32N
213888.207,876960.1666,32N
213657.4324,876977.0956,32N
213432.1831,877003.6393,32N
213233.1108,877059.3268,32N
213031.3043,877157.3502,32N
212812.9651,877236.833,32N
212575.7392,877337.3955,32N
212512.0855,877368.0007,32N
212422.7308,877413.8051,32N
212239.7772,877562.8174,32N
212088.2733,877743.8284,32N
211926.2698,877891.0235,32N
211683.9071,878017.1181,32N
211438.8696,878088.9053,32N
211200.8439,878159.205,32N
210912.6858,878230.8299,32N
210649.8074,878243.6166,32N
210411.8806,878189.903,32N
210168.9484,878102.7913,32N
209752.7854,878064.1653,32N
209619.1106,878139.2799,32N
209395.9146,878432.0942,32N
209258.547,878476.5814,32N
209088.5736,878586.8198,32N
208920.541,878692.137,32N
208738.5762,878641.244,32N
208545.9667,878587.3748,32N
208388.2223,878543.2559,32N
208219.9996,878644.2207,32N
208049.0131,878746.3502,32N
207873.0759,878854.5489,32N
207700.5459,878933.3368,32N
207517.9525,879034.2352,32N
207414.5932,879086.2298,32N
207271.7817,879232.1983,32N
207132.4464,879375.6157,32N
206996.5513,879513.5556,32N
206806.5317,879540.6821,32N
206606.188,879570.3226,32N
206410.4133,879598.3203,32N
206211.3766,879624.065,32N
206008.4772,879653.6853,32N
205806.8472,879682.0682,32N
205605.1055,879710.6781,32N
205406.4698,879742.1038,32N
204813.6597,879837.2269,32N
204419.8853,879912.2285,32N
204224.1654,879957.494,32N
204030.4164,880008.8302,32N
203837.2004,880060.6421,32N
203644.0358,880112.4905,32N
203257.7077,880216.1797,32N
202871.3785,880319.8679,32N
202184.6448,880504.1957,32N
201785.938,880560.7625,32N
201174.0903,880663.4072,32N
200974.1842,880692.8625,32N
200611.4549,880726.3461,32N
199639.056,880779.191,32N
199456.8224,880703.346,32N
199261.8669,880648.8882,32N
199066.4716,880594.7343,32N
198864.0197,880579.6792,32N
198662.8125,880591.3281,32N
198461.7746,880601.1289,32N
198288.0781,880628.7372,32N
198090.4248,880654.4335,32N
197891.9097,880676.7348,32N
197693.2356,880698.4177,32N
197495.0862,880718.1556,32N
197295.2408,880739.6222,32N
197096.0135,880761.977,32N
196900.6911,880793.6306,32N
196699.6341,880781.4232,32N
196498.6574,880802.5616,32N
196294.8325,880824.1633,32N
196214.9849,880865.8918,32N
196037.5437,880958.0619,32N
195860.1054,881050.341,32N
195682.3099,881142.7388,32N
195493.7208,881252.1862,32N
195319.9619,881350.9943,32N
195146.1374,881449.894,32N
194972.0708,881548.1425,32N
194804.6587,881641.8936,32N
194636.3338,881606.0836,32N
194438.1957,881550.8712,32N
194283.5961,881616.6219,32N
194099.3272,881694.2403,32N
193914.9692,881771.671,32N
193731.7592,881848.4884,32N
193542.4632,881904.4032,32N
193346.9491,881947.0842,32N
193150.8402,881990.0827,32N
192957.861,882045.2167,32N
192765.5705,882101.3313,32N
192576.1359,882156.3056,32N
192450.54,882129.9065,32N
192255.1364,882089.1261,32N
192059.868,882047.2985,32N
